crop	disease	candidate_rows	kept_rows
Bermudagrass	Limonomyces Fungus	10	10
Lawngrass	Rust	10	10
Kentucky Bluegrass	Wheat Stem Rust	10	10
Lentil	Ascochyta Blight	10	10
Japanese Maple	Powdery Mildew	10	10
Elm	Bacterial Leaf Scorch	10	10
Watermelon	Blossom End Rot	10	10
Watermelon	Southern Blight	10	10
Loblolly Pine	Wood Decay Fungi	10	10
Cowpea	Flower Blights	10	10
Sweet Potato	Fusarium Root Rot And Wilt	10	10
Deadwood And Snags	Artist'S Conk	10	10
Deadwood And Snags	Slime Mold	10	10
Highbush Blackberry	Downy Mildew	10	10
Spongy Moth (Formerly Gypsy Moth)	Entomophagus Fungi	10	10
